product_id,sku,product_name,category,brand,pack_size_g
1,CHOCOLATTO_45G,Chocolatto Chocochip 45g,Biscuit,Bisconni,45
2,CHOCOLATTO_90G,Chocolatto Chocochip 90g,Biscuit,Bisconni,90
3,CHOCOLATTO_100G,Chocolatto Chocochip 100g,Biscuit,Bisconni,100
4,CHOCOLATTO_150G,Chocolatto Chocochip 150g,Biscuit,Bisconni,150
5,RITE_45G,Rite Filled Biscuit 45g,Biscuit,Bisconni,45
6,RITE_90G,Rite Filled Biscuit 90g,Biscuit,Bisconni,90
7,RITE_100G,Rite Filled Biscuit 100g,Biscuit,Bisconni,100
8,RITE_150G,Rite Filled Biscuit 150g,Biscuit,Bisconni,150
9,COCOMO_45G,Cocomo Chocolate Filled 45g,Biscuit,Bisconni,45
10,COCOMO_90G,Cocomo Chocolate Filled 90g,Biscuit,Bisconni,90
11,COCOMO_100G,Cocomo Chocolate Filled 100g,Biscuit,Bisconni,100
12,COCOMO_150G,Cocomo Chocolate Filled 150g,Biscuit,Bisconni,150
13,NOVITA_45G,Novita Vanilla Cream 45g,Biscuit,Bisconni,45
14,NOVITA_90G,Novita Vanilla Cream 90g,Biscuit,Bisconni,90
15,NOVITA_100G,Novita Vanilla Cream 100g,Biscuit,Bisconni,100
16,NOVITA_150G,Novita Vanilla Cream 150g,Biscuit,Bisconni,150
17,CHOCO_CHIP_45G,Choco Chip Biscuit 45g,Biscuit,Bisconni,45
18,CHOCO_CHIP_90G,Choco Chip Biscuit 90g,Biscuit,Bisconni,90
19,CHOCO_CHIP_100G,Choco Chip Biscuit 100g,Biscuit,Bisconni,100
20,CHOCO_CHIP_150G,Choco Chip Biscuit 150g,Biscuit,Bisconni,150
21,CREAM_CRACKER_45G,Cream Cracker 45g,Biscuit,Bisconni,45
22,CREAM_CRACKER_90G,Cream Cracker 90g,Biscuit,Bisconni,90
23,CREAM_CRACKER_100G,Cream Cracker 100g,Biscuit,Bisconni,100
24,CREAM_CRACKER_150G,Cream Cracker 150g,Biscuit,Bisconni,150
25,SNACK_10_200G,Site Biscuit 200g,Biscuit,Bisconni,200
26,SNACK_43_200G,Dog Biscuit 200g,Wafer,Bisconni,200
27,SNACK_21_75G,Require Biscuit 75g,Wafer,Bisconni,75
28,SNACK_81_90G,Performance Biscuit 90g,Biscuit,Bisconni,90
29,SNACK_60_60G,All Biscuit 60g,Snack,Bisconni,60
30,SNACK_13_120G,Early Biscuit 120g,Wafer,Bisconni,120
31,SNACK_89_90G,Agreement Biscuit 90g,Biscuit,Bisconni,90
32,SNACK_83_75G,Sense Biscuit 75g,Wafer,Bisconni,75
33,SNACK_86_45G,Discussion Biscuit 45g,Biscuit,Bisconni,45
34,SNACK_79_120G,Fall Biscuit 120g,Biscuit,Bisconni,120
35,SNACK_02_100G,Save Biscuit 100g,Wafer,Bisconni,100
36,SNACK_65_90G,Fall Biscuit 90g,Biscuit,Bisconni,90
37,SNACK_23_150G,Source Biscuit 150g,Snack,Bisconni,150
38,SNACK_51_45G,Best Biscuit 45g,Wafer,Bisconni,45
39,SNACK_61_45G,Her Biscuit 45g,Snack,Bisconni,45
40,SNACK_59_90G,Everything Biscuit 90g,Snack,Bisconni,90
